,HNSCC_P1,HNSCC_P2,HNSCC_P3,HNSCC_P4,HNSCC_P6,HNSCC_P7,HNSCC_P8,HNSCC_P9,HNSCC_P10,HNSCC_P11,HNSCC_P12,HNSCC_P13,HNSCC_P14,HNSCC_P15,HNSCC_P16,HNSCC_P17,HNSCC_P18,HNSCC_P19,HNSCC_P20,HNSCC_P21,HNSCC_P22,HNSCC_P23,HNSCC_P24,HNSCC_P25,HNSCC_P26
FAM127A,0.0511566083961358,0.0250492885096129,0.072706778830513,0.0,0.0585295990152453,0.0,0.0,0.0358734824212455,0.0356707279451714,0.0506356357640113,0.0184960930661705,0.0101134895759294,0.0,0.0,0.0,0.0,0.113722128093304,0.0325519193891205,0.0420031322059695,0.0288078283023889,0.0482097662455223,0.0196733497468127,0.0054805671404786,0.0230866880935794,0.0
FAM127B,0.04851236137925,0.0181758325655945,0.133843755808078,0.0,0.0294912997367558,0.0,0.0,0.0542128788674826,0.0309310321272333,0.0501824481092617,0.0111204577375732,0.0,0.0,0.0984959672623635,0.0,0.0,0.02112494999181,0.0934876712100196,0.0529164701747306,0.0061774822444784,0.0516740964354752,0.0435033574761802,0.0,0.0622087244890651,0.0
DDX26B,0.0193217129277947,0.032681585480731,0.0749270465710365,0.0,0.0,0.0,0.144424795602197,0.0161490758989841,0.005145084236228,0.0237174768661115,0.0186109089052882,0.0653026966539696,0.0296536081345166,0.0,0.0,0.0,0.0164591506178387,0.0143758510951311,0.0143898166675159,0.0309131982471084,0.0119421841524904,0.0064847168022735,0.0179750241838568,0.0544573058388445,0.0
FAM58A,0.112634859728265,0.048440880824591,0.0508228716207841,0.376916496950852,0.0886159102538358,0.100347592893933,0.144424795602197,0.133545937728515,0.10680993732724,0.0902950714564058,0.0765961054482246,0.117069136763828,0.079568601114496,0.0,0.0434788066468035,0.0285624523583763,0.0694875585619066,0.0838049479516421,0.0551417401987507,0.102342728433171,0.134796553180266,0.129414300991737,0.13321026204986,0.156807233316066,0.498202203276003
CH17.dash.340M24.3,0.0435826154599533,0.024712319711057,0.0,0.0,0.0240089979590111,0.0,0.0,0.0294014338346518,0.0190181810879495,0.0144617564948066,0.047476383500683,0.0,0.0,0.0,0.0371016393700997,0.0,0.0125611398974197,0.0054111580936969,0.0261485968727473,0.0363418596394645,0.0159214150888747,0.0118372493015678,0.0,0.0302992535771732,0.0
CTD.dash.2336O2.1,0.0379452989338862,0.0267045468990023,0.0,0.0,0.0053578924399516,0.0,0.0,0.0257470713968752,0.0360414330349213,0.0378485833725409,0.0265507221773088,0.0203712078697713,0.0296536081345166,0.0926145571484423,0.0434788066468035,0.0,0.0125674756642547,0.0,0.0187311924764304,0.058760279645274,0.0121130197521961,0.0041834339475876,0.0312220275370026,0.0149922745094538,0.498202203276003
RP11.dash.115C21.2,0.0282502105669957,0.0163994231384047,0.0,0.0,0.0380162124555677,0.0,0.0,0.0320272490152069,0.0128764086123791,0.0175349672283057,0.0083978735114948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017268748674083,0.0202805077980916,0.0358864022198606,0.013685522967382,0.0389533645859245,0.0202194407237064,0.0
RP11.dash.489E7.4,0.203801337891659,0.106977259083166,0.0,0.143000226299457,0.0280868156593735,0.500272356703928,0.184215091950116,0.0940693729812117,0.0382474021592867,0.114208353169279,0.157492514920675,0.125422638332004,0.160227072085965,0.0510659712485655,0.0,0.0907732864593689,0.285036061997158,0.171341317273589,0.0689626433386036,0.0790553442844161,0.198304257700823,0.082361402602603,0.0686826674472625,0.0992392474337829,0.0
RP11.dash.51J9.5,0.0499609043829002,0.0549336295050584,0.0,0.0537728055263919,0.009287473133428,0.100347592893933,0.144424795602197,0.0459075119833081,0.0322618426275243,0.076804815305368,0.0985477929638428,0.0122195273704576,0.0238565796605211,0.0,0.184423755311292,0.0,0.128675914648411,0.0083033904549746,0.0590192693966613,0.0351018235932807,0.114353701739311,0.0585219104001142,0.106811448742035,0.131809284279787,0.0
PROSC,0.0644563766550851,0.0491180709953032,0.164044777325075,0.170249296986507,0.0818164200890449,0.256652830239307,0.393681592213932,0.0902061599558806,0.0599363944116711,0.0808435028622674,0.034495610084228,0.0325907352402288,0.108382996769472,0.034159438128694,0.0,0.0285624523583763,0.0319688808333035,0.0847150480680242,0.0431062159837045,0.0622098190870396,0.0800485939506442,0.0338966590184709,0.0781860283106528,0.063329341956611,0.0
