,HNSCC_P1,HNSCC_P2,HNSCC_P3,HNSCC_P4,HNSCC_P6,HNSCC_P7,HNSCC_P8,HNSCC_P9,HNSCC_P10,HNSCC_P11,HNSCC_P12,HNSCC_P13,HNSCC_P14,HNSCC_P15,HNSCC_P16,HNSCC_P17,HNSCC_P18,HNSCC_P19,HNSCC_P20,HNSCC_P21,HNSCC_P22,HNSCC_P23,HNSCC_P24,HNSCC_P25,HNSCC_P26
NUTM2A.dash.AS1,0.0,0.200852510376879,0.0,0.128791724533973,0.0992242629861414,0.0,0.0,0.0,0.433806769315612,0.0,0.218568995350393,0.634259973737207,0.142027966963766,0.0,0.0,0.0,0.150730868786429,0.116006885785346,0.132481207279452,0.0958755053591568,0.135139311566395,0.0,0.107969642965449,0.0,0.0
ATAD1,0.0,0.141731510182108,0.0,0.0485832993518336,0.0699727061388978,0.426668373446937,0.0,0.328295093914533,0.344467201375085,0.0,0.0,0.0,0.130824999493669,0.0,0.113656402230503,0.0,0.0,0.165750734740078,0.110776862643922,0.125090285967146,0.0670768220315831,0.0,0.131757779882813,0.0,0.1252144671909
PTEN,0.0,0.0,0.0,0.180828126309387,0.162466251601105,0.0,0.0,0.0,0.0,0.0,0.226772292869952,0.0,0.0,0.269257630537775,0.0,0.73435964223405,0.234077368135479,0.254050513664573,0.140660703015367,0.140448864616406,0.0919911257738634,0.443386028970475,0.160636609943305,0.171154079785722,0.186497772956007
LIPA,0.0,0.215834762717704,0.341507549538167,0.135640985586571,0.197398917017898,0.0,1.09365650605492,0.604523059064781,0.0,0.279453785455041,0.0,0.0,0.0,0.336992570025368,0.224977320359708,0.47424517633055,0.26969780642893,0.33118274348607,0.268708577658071,0.272266683053119,0.228211913508464,0.0,0.205983046930907,0.0,0.1252144671909
IFIT2,0.0,0.0,0.15497262511843,0.0110344113394736,0.137837359433705,0.387671865484617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112587974986056,0.109338447708532,0.0,0.055980401641403,0.0353800814374027,0.100888286539243,0.0432258136201778,0.0,0.0682195234318514,0.189527160154846,0.380583098753032
IFIT3,0.0,0.0,0.0,0.0,0.20732224196946,0.397860895674444,0.540461378568613,0.0,0.0,0.699485772759624,0.0,0.0,0.0,0.692171485755472,0.112587974986056,0.0,0.0,0.0371525649417571,0.0300611619986153,0.0346720433306251,0.029448769366957,0.0,0.139140822392827,0.171154079785722,0.163682212976348
KIF20B,0.0,0.172997407281826,0.148023085425192,0.145633741792908,0.0958408811835949,0.0,0.0,0.0,0.344467201375085,0.0,0.43873335418607,0.580887647779101,0.118162690640371,0.291223935012838,0.117402002215016,0.0,0.0,0.0888107850821614,0.149514538166781,0.109440188427735,0.106927632577554,0.0,0.122602214783088,0.44442115708754,0.0
RPP30,0.0,0.0,0.15497262511843,0.112274456710634,0.128518760660689,0.0,0.0,0.329093900346325,0.620419727699293,0.0,0.0,0.0,0.0,0.301437212546677,0.192922862157713,0.391047726316294,0.150730868786429,0.169242731753252,0.139657809544041,0.130042914698252,0.116882904847937,0.0,0.0973309941828332,0.0,0.0
PCGF5,0.901229806744006,0.32619092953725,0.0,0.0246295638187943,0.118552347285663,0.426668373446937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112167631563683,0.346149398572696,0.0,0.1452696393583,0.260319368780761,0.105518474021987,0.102775944750817,0.0,0.14376470226894,0.0,0.186497772956007
HHEX,0.0,0.487900897507191,0.367745886784383,0.0917522548753267,0.422110310513321,0.0,0.0,0.332706615517812,0.344467201375085,0.328512768068029,0.0,0.0,0.36487036935175,0.570694843084452,0.339764201231982,0.0,0.26969780642893,0.380682083741794,0.621970228169864,0.568800994507562,0.405133310627984,0.0,0.431658052882277,0.630812475094489,0.226184620793799
EXOC6,0.0,0.208349244194402,0.181210962364646,0.101631532040519,0.0675941102345367,0.0,0.0,0.662778691634145,0.433806769315612,0.0,0.218568995350393,0.0,0.0,0.0,0.102179715562888,0.109338447708532,0.0,0.0798278261451501,0.178627410515322,0.0899478838831707,0.0947201907240392,0.0,0.0937990940530913,0.0,0.154398477959233
PDLIM1,0.901229806744006,0.283363124261117,0.90495044718222,0.610306904707346,0.536634641178859,1.12509252391125,1.56475312787555,0.328295093914533,0.944026374484759,0.60796655352307,0.275163300603443,0.0,0.313505827577968,0.291223935012838,0.298783926561215,0.0,0.0,0.694122653438137,0.768980408095193,0.724223096063964,0.725610362026461,1.21969210282333,0.648413394574378,0.820339635249335,0.911765095838293
ENTPD1,0.0,0.126141548749581,0.186534924419738,0.175514206584125,0.176823220927138,0.397860895674444,0.0,0.271816443546968,0.344467201375085,0.279453785455041,0.211961061316118,0.0,0.113557238583545,0.253443892372606,0.0,0.456511119319903,0.198278090481373,0.221934309074764,0.171922148904674,0.255730698860255,0.222509488924154,0.376750597214346,0.197954677197172,0.238322677392108,0.467531319349314
ZNF518A,0.0,0.108919131266203,0.344567891572749,0.0750074764598885,0.134283477923148,0.0,0.0,0.0,0.0,0.412204835580733,0.0,0.0,0.0,0.0,0.0961748213528355,0.174801840712141,0.217157833191477,0.12286492904598,0.20749669990809,0.0921029171972946,0.071748742242419,0.0,0.0970944682560477,0.40947675717783,0.307140432250064
BLNK,0.901229806744006,0.695883300022423,0.736345665494122,0.329343675270708,0.664938367135609,0.397860895674444,0.0,0.328295093914533,0.0,0.412204835580733,0.211961061316118,0.0,0.0,0.0,0.326248811139639,0.570114495340812,0.535201076944115,0.459779872201677,0.584024375773219,0.659378311820282,0.63975159094479,0.0,0.565888006411397,0.805102397028108,0.505797565943932
TM9SF3,0.0,0.191644681098672,0.149057948926494,0.074817597207773,0.087427916782375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110777129415742,0.269257630537775,0.112587974986056,0.213713129537522,0.0,0.123703015731329,0.10954014599713,0.1020347774448,0.0357825927640799,0.0,0.0784251737005637,0.0,0.0
PIK3AP1,0.0,0.0941006343264445,0.0,0.0479607991602795,0.231375518725817,0.0,0.0,0.330346637018361,0.0,0.0,0.0,0.570125143471021,0.0,0.269257630537775,0.207178599857659,0.109338447708532,0.26969780642893,0.204147171936987,0.178537443854699,0.276587049542712,0.138852788356223,0.0,0.252474663008632,0.357545397792671,0.0
PGAM1,0.0,0.297572156239614,0.457290671704905,0.32154141234707,0.350603874906824,0.339559762752187,0.553195127486303,0.0,0.0,1.23716434641037,0.0,0.0,0.513554281466672,0.291223935012838,0.113656402230503,0.460618882147953,0.234077368135479,0.510765994940182,0.424120865209005,0.463674738062041,0.539976939832911,0.481390715899287,0.326766217230809,0.0,0.1252144671909
EXOSC1,0.901229806744006,0.136034332404833,0.0,0.113787065448432,0.133188291321785,0.0,0.0,0.0,0.0,0.370973004691594,0.0,0.0,0.0,0.0,0.0,0.281709278607761,0.452560675791378,0.108102366813172,0.181636133824712,0.145568066025943,0.143295493405354,0.481390715899287,0.135978674356313,0.189527160154846,0.0
HPS1,0.0,0.0,0.0,0.119250693062174,0.179490279715257,0.0,0.0,0.0,0.433806769315612,0.0,0.195244017656076,0.0,0.0,0.269257630537775,0.0907431465948253,0.109338447708532,0.198278090481373,0.197593517668311,0.316387542703706,0.171328390146237,0.19635727331476,0.376750597214346,0.176815867486106,0.654269173490428,0.131206876330917
